시군명,기준년월,월별충전액,월별사용액,인센티브율(%)
구리시,2020-06,4262372000.0,2391153000.0,10
구리시,2020-05,2985817000.0,2494217000.0,10
구리시,2020-04,2039056000.0,1362573000.0,10
구리시,2020-03,1573624000.0,967174000.0,10
구리시,2020-02,779041000.0,701499000.0,10
구리시,2020-01,958042000.0,831592000.0,10
구리시,2019-12,1206967000.0,745319000.0,6
구리시,2019-11,263086000.0,611937000.0,6
구리시,2019-10,1106018000.0,679158000.0,6
구리시,2019-09,591082000.0,429976000.0,6
구리시,2019-08,195288000.0,516560000.0,6
구리시,2019-07,801086000.0,523667000.0,6
구리시,2019-06,509439000.0,387779000.0,6
구리시,2019-05,693291000.0,116924000.0,6
구리시,2019-04,,,6
구리시,2019-03,,,6
구리시,2019-02,,,6
구리시,2019-01,,,6
군포시,2022-12,14411794000.0,14258138000.0,10
군포시,2022-11,13540110000.0,13626199000.0,10
군포시,2022-10,14020299000.0,14187826000.0,10
군포시,2022-09,14032083000.0,14605383000.0,10
군포시,2022-08,13662816000.0,15671515000.0,10
군포시,2022-07,20037318000.0,18579479000.0,10
군포시,2022-06,17918641000.0,16111566000.0,10
군포시,2022-05,15994841000.0,16802768000.0,10
군포시,2022-04,16160118000.0,16189779000.0,10
군포시,2022-03,15224367000.0,15406910000.0,10
군포시,2022-02,12767981000.0,13159951000.0,10
군포시,2022-01,13582205000.0,15881472000.0,10
군포시,2021-12,16423082000.0,15879495000.0,10
군포시,2021-11,16670653000.0,13701938000.0,10
군포시,2021-10,10083499000.0,9853569000.0,10
군포시,2021-09,11104612000.0,9017110000.0,10
군포시,2021-08,10579115000.0,11807294000.0,10
군포시,2021-07,13735281000.0,13610282000.0,10
군포시,2021-06,15362245000.0,14155516000.0,10
군포시,2021-05,11440191000.0,11773125000.0,10
군포시,2021-04,11202672000.0,11390065000.0,10
군포시,2021-03,10711530000.0,10951955000.0,10
군포시,2021-02,8468384000.0,7689732000.0,10
군포시,2021-01,8951603000.0,9831917000.0,10
군포시,2020-12,11206381000.0,9576097000.0,10
군포시,2020-11,9813402000.0,9495058000.0,10
군포시,2020-10,8822107000.0,9194072000.0,10
군포시,2020-09,9592961000.0,8789646000.0,10
군포시,2020-08,5704424000.0,6600190000.0,10
군포시,2020-07,5737778000.0,7091100000.0,10
군포시,2020-06,7907352000.0,5552418000.0,10
군포시,2020-05,6310698000.0,4959716000.0,10
군포시,2020-04,5374339000.0,4204775000.0,10
군포시,2020-03,4263997000.0,3047797000.0,10
군포시,2020-02,1510611000.0,2493120000.0,10
군포시,2020-01,4112492000.0,3165515000.0,10
군포시,2019-12,3962529000.0,2832124000.0,6
군포시,2019-11,1442764000.0,2201774000.0,6
군포시,2019-10,1987328000.0,2435273000.0,6
군포시,2019-09,3840776000.0,2233807000.0,6
군포시,2019-08,1112362000.0,1874745000.0,6
군포시,2019-07,1980499000.0,2154009000.0,6
군포시,2019-06,2379979000.0,1688951000.0,6
군포시,2019-05,2341957000.0,1061666000.0,6
