조회년도,시군구명,조사시기(회차),병해충명(수치설명),값
2015,강진군,2,잎도열병(피해율),0.0
2015,강진군,2,잎집무늬마름병(피해율),0.0
2015,강진군,2,잎집무늬마름병(피해율),0.0
2015,강진군,2,잎집무늬마름병(피해율),0.0
2015,강진군,2,줄무늬잎마름병(피해율),0.0
2015,강진군,2,줄무늬잎마름병(피해율),0.0
2015,강진군,2,줄무늬잎마름병(피해율),0.0
2015,강진군,2,혹명나방(피해율),0.0
2015,강진군,2,혹명나방(피해율),0.0
2015,강진군,2,혹명나방(피해율),0.0
2015,강진군,2,흰등멸구(피해율),0.0
2015,강진군,2,흰등멸구(피해율),0.0
2015,강진군,2,흰등멸구(피해율),0.0
2015,강진군,3,깨씨무늬병(피해율),0.0
2015,강진군,3,깨씨무늬병(피해율),0.0
2015,강진군,3,깨씨무늬병(피해율),0.0
2015,강진군,3,끝동매미충(피해율),0.0
2015,강진군,3,끝동매미충(피해율),0.0
2015,강진군,3,끝동매미충(피해율),0.0
2015,강진군,3,먹노린재(피해율),0.0
2015,강진군,3,먹노린재(피해율),0.0
2015,강진군,3,먹노린재(피해율),0.0
2015,강진군,3,멸강나방(피해율),0.0
2015,강진군,3,멸강나방(피해율),0.0
2015,강진군,3,멸강나방(피해율),0.0
2015,강진군,3,벼멸구(피해율),0.0
2015,강진군,3,벼멸구(피해율),0.0
2015,강진군,3,벼멸구(피해율),0.0
2015,강진군,3,벼물바구미(피해율),0.0
2015,강진군,3,벼물바구미(피해율),0.0
2015,강진군,3,벼물바구미(피해율),0.0
2015,강진군,3,벼애잎굴파리(피해율),0.0
2015,강진군,3,벼애잎굴파리(피해율),0.0
