분류명,데이터값,분류값ID(코드),수록주기,단위영문명,항목ID,통계표ID,항목명,통계표명,수록시점,최종수정일,분류값영문,분류값명,단위명,항목영문명,기관코드,분류영문명
시설별,646,E_03,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Short-Term Protection Service,단기보호서비스,명,Fixed Number of Entry,117,By Facility
시설별,255,E_03,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Short-Term Protection Service,단기보호서비스,명,Fixed Number of Entry,117,By Facility
시설별,3394,E_04,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Visiting Bathing Service,방문목욕서비스,개소,Number of Facilities,117,By Facility
시설별,4070,E_04,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Visiting Bathing Service,방문목욕서비스,개소,Number of Facilities,117,By Facility
시설별,4794,E_04,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Visiting Bathing Service,방문목욕서비스,개소,Number of Facilities,117,By Facility
시설별,0,E_04,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Visiting Bathing Service,방문목욕서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_04,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Visiting Bathing Service,방문목욕서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_04,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Visiting Bathing Service,방문목욕서비스,명,Fixed Number of Entry,117,By Facility
시설별,363,E_05,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-07-12,Home Care Support Service,재가노인지원서비스,개소,Number of Facilities,117,By Facility
시설별,342,E_05,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Home Care Support Service,재가노인지원서비스,개소,Number of Facilities,117,By Facility
시설별,339,E_05,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Home Care Support Service,재가노인지원서비스,개소,Number of Facilities,117,By Facility
시설별,0,E_05,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Home Care Support Service,재가노인지원서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_05,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Home Care Support Service,재가노인지원서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_05,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Home Care Support Service,재가노인지원서비스,명,Fixed Number of Entry,117,By Facility
시설별,234,E_06,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Visiting Nursing Service,방문간호서비스,개소,Number of Facilities,117,By Facility
시설별,295,E_06,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Visiting Nursing Service,방문간호서비스,개소,Number of Facilities,117,By Facility
시설별,376,E_06,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Visiting Nursing Service,방문간호서비스,개소,Number of Facilities,117,By Facility
시설별,0,E_06,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Visiting Nursing Service,방문간호서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_06,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Visiting Nursing Service,방문간호서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_06,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Visiting Nursing Service,방문간호서비스,명,Fixed Number of Entry,117,By Facility
시설별,368,E_07,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Welfare Equipment Support Service,복지용구지원서비스,개소,Number of Facilities,117,By Facility
시설별,540,E_07,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Welfare Equipment Support Service,복지용구지원서비스,개소,Number of Facilities,117,By Facility
시설별,718,E_07,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Welfare Equipment Support Service,복지용구지원서비스,개소,Number of Facilities,117,By Facility
시설별,0,E_07,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Welfare Equipment Support Service,복지용구지원서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_07,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Welfare Equipment Support Service,복지용구지원서비스,명,Fixed Number of Entry,117,By Facility
시설별,0,E_07,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Welfare Equipment Support Service,복지용구지원서비스,명,Fixed Number of Entry,117,By Facility
시설별,37,F,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Protection Institution For The Aged,노인보호전문기관,개소,Number of Facilities,117,By Facility
시설별,38,F,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Protection Institution For The Aged,노인보호전문기관,개소,Number of Facilities,117,By Facility
시설별,39,F,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Protection Institution For The Aged,노인보호전문기관,개소,Number of Facilities,117,By Facility
시설별,0,F,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Protection Institution For The Aged,노인보호전문기관,명,Fixed Number of Entry,117,By Facility
시설별,0,F,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Protection Institution For The Aged,노인보호전문기관,명,Fixed Number of Entry,117,By Facility
시설별,0,F,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Protection Institution For The Aged,노인보호전문기관,명,Fixed Number of Entry,117,By Facility
시설별,206,G,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Job Support Institution For The Aged,노인일자리지원기관,개소,Number of Facilities,117,By Facility
시설별,211,G,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Job Support Institution For The Aged,노인일자리지원기관,개소,Number of Facilities,117,By Facility
시설별,215,G,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Job Support Institution For The Aged,노인일자리지원기관,개소,Number of Facilities,117,By Facility
시설별,0,G,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Job Support Institution For The Aged,노인일자리지원기관,명,Fixed Number of Entry,117,By Facility
시설별,0,G,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Job Support Institution For The Aged,노인일자리지원기관,명,Fixed Number of Entry,117,By Facility
시설별,0,G,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Job Support Institution For The Aged,노인일자리지원기관,명,Fixed Number of Entry,117,By Facility
시설별,20,H,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2022,2023-06-30,Shelter for The Abused Aged,학대피해노인 전용쉼터,개소,Number of Facilities,117,By Facility
시설별,20,H,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2023,2024-06-28,Shelter for The Abused Aged,학대피해노인 전용쉼터,개소,Number of Facilities,117,By Facility
시설별,20,H,A,Place,217001,DT_117N_B00003,시설수,노인복지시설 현황,2024,2025-06-26,Shelter for The Abused Aged,학대피해노인 전용쉼터,개소,Number of Facilities,117,By Facility
시설별,0,H,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2022,2023-07-12,Shelter for The Abused Aged,학대피해노인 전용쉼터,명,Fixed Number of Entry,117,By Facility
시설별,0,H,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2023,2024-06-28,Shelter for The Abused Aged,학대피해노인 전용쉼터,명,Fixed Number of Entry,117,By Facility
시설별,0,H,A,Person,217002,DT_117N_B00003,입소정원,노인복지시설 현황,2024,2025-06-26,Shelter for The Abused Aged,학대피해노인 전용쉼터,명,Fixed Number of Entry,117,By Facility
